Rank,Name,Japanese_name,Type,Episodes,Studio
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Kimetsu no Yaiba: Yuukaku-hen,TV   ,no data,ufotable
2,Fruits Basket the Final Season, Fruits Basket the Final,TV   ,13,TMS Entertainment
3,Mo Dao Zu Shi 3, The Founder of Diabolism 3,Web  ,12,B.C MAY PICTURES
4,Fullmetal Alchemist: Brotherhood, Hagane no Renkinjutsushi: Full Metal Alchemist,TV   ,64,Bones
5,Attack on Titan 3rd Season: Part II, Shingeki no Kyojin Season 3: Part II,TV   ,10,WIT Studio
6,Jujutsu Kaisen,,TV   ,24,MAPPA
7,Attack on Titan The Final Season: Part II, Shingeki no Kyojin The Final Season: Part II,TV   ,no data,MAPPA
8,Attack on Titan The Final Season, Shingeki no Kyojin The Final Season,TV   ,16,MAPPA
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,no data,ufotable
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV   ,10,Production I.G
11,your name., Kimi no Na wa.,Movie,no data,CoMix Wave Films
12,Haikyuu!! Second Season,,TV   ,25,Production I.G
13,Demon Slayer: Kimetsu no Yaiba, Kimetsu no Yaiba,TV   ,26,ufotable
14,Hunter x Hunter (2011),,TV   ,148,MADHOUSE
15,A Silent Voice, Koe no Katachi,Movie,no data,Kyoto Animation
16,Violet Evergarden Movie,,Movie,no data,Kyoto Animation
17,Haikyuu!! To the Top: Part II,,TV   ,12,Production I.G
18,Heaven Official's Blessing Special, Tian Guan Ci Fu Special,Web  ,1,Haoliners Animation League
19,That Time I Got Reincarnated as a Slime Season 2, Tensei Shitara Slime Datta Ken Season 2,TV   ,12,8-Bit
20,Given,,TV   ,11,Lerche
21,Code Geass: Lelouch of the Rebellion R2, Code Geass: Hangyaku no Lelouch R2,TV   ,25,Sunrise
22,Mo Dao Zu Shi 2, The Founder of Diabolism 2,Web  ,8,B.C MAY PICTURES
23,Gintama: The Very Final, Gintama: The Final,Movie,no data,BN Pictures
24,Link Click, Shiguang Dailiren,Web  ,11,Studio LAN
25,Mob Psycho 100 II,,TV   ,13,Bones
26,Haikyuu!! To the Top,,TV   ,13,Production I.G
27,Fruits Basket 2nd Season,,TV   ,25,8 Pan
28,The Promised Neverland, Yakusoku no Neverland,TV   ,12,CloverWorks
29,Spirited Away, Sen to Chihiro no Kamikakushi,Movie,no data,Studio Ghibli
30,That Time I Got Reincarnated as a Slime Season 2: Part II, Tensei Shitara Slime Datta Ken Season 2: Part II,TV   ,12,8-Bit
31,Heaven Official's Blessing, Tian Guan Ci Fu,Web  ,11,Haoliners Animation League
32,Ranking of Kings, Ousama Ranking,TV   ,no data,WIT Studio
33,Mushoku Tensei: Jobless Reincarnation - Part II, Mushoku Tensei: Isekai Ittara Honki Dasu - Part II,TV   ,12,Studio Bind
