Name,Release_season,Rating,Release_year,End_year
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Fall ,4.6,2021,Ongoing
Fruits Basket the Final Season,Spring,4.6,2021,Ongoing
Mo Dao Zu Shi 3,no data,4.58,2021,Ongoing
Fullmetal Alchemist: Brotherhood,Spring,4.58,2009,2010
Attack on Titan 3rd Season: Part II,Spring,4.57,2019,Ongoing
Jujutsu Kaisen,Fall ,4.56,2020,2021
Attack on Titan The Final Season: Part II,Winter,4.56,2022,Ongoing
Attack on Titan The Final Season,Winter,4.55,2020,2021
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,no data,4.54,2020,Ongoing
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Fall ,4.53,2016,Ongoing
your name.,no data,4.51,2016,Ongoing
Haikyuu!! Second Season,Fall ,4.51,2015,2016
Demon Slayer: Kimetsu no Yaiba,Spring,4.51,2019,Ongoing
Hunter x Hunter (2011),Fall ,4.51,2011,2014
A Silent Voice,no data,4.51,2016,Ongoing
Violet Evergarden Movie,no data,4.5,2020,Ongoing
Haikyuu!! To the Top: Part II,Fall ,4.5,2020,Ongoing
Heaven Official's Blessing Special,no data,4.5,2021,Ongoing
That Time I Got Reincarnated as a Slime Season 2,Winter,4.48,2021,Ongoing
Given,Summer,4.48,2019,Ongoing
Code Geass: Lelouch of the Rebellion R2,Spring,4.47,2008,Ongoing
Mo Dao Zu Shi 2,no data,4.46,2019,Ongoing
Gintama: The Very Final,no data,4.46,2021,Ongoing
Link Click,no data,4.46,2021,Ongoing
Mob Psycho 100 II,Winter,4.46,2019,Ongoing
Haikyuu!! To the Top,Winter,4.46,2020,Ongoing
Fruits Basket 2nd Season,Spring,4.45,2020,Ongoing
The Promised Neverland,Winter,4.45,2019,Ongoing
Spirited Away,no data,4.45,2001,Ongoing
That Time I Got Reincarnated as a Slime Season 2: Part II,Summer,4.45,2021,Ongoing
Heaven Official's Blessing,no data,4.45,2020,2021
Ranking of Kings,Fall ,4.45,2021,Ongoing
Mushoku Tensei: Jobless Reincarnation - Part II,Fall ,4.45,2021,Ongoing
Gintama.: Shirogane no Tamashii-hen 2,Summer,4.44,2018,Ongoing
Clannad After Story,Fall ,4.44,2008,2009
Mo Dao Zu Shi,no data,4.44,2018,Ongoing
Gintama': Enchousen,Fall ,4.44,2012,2013
Banana Fish,Summer,4.44,2018,Ongoing
Douluo Dalu 2,no data,4.44,2018,Ongoing
