Name,Content_Warning,Related_Mange,staff
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Explicit Violence,Demon Slayer: Kimetsu no Yaiba,"Koyoharu Gotouge : Original Creator, Haruo Sotozaki : Director, Akira Matsushima : Character Design, Aimer : Song Performance"
Fruits Basket the Final Season,"Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse","Fruits Basket, Fruits Basket Another","Natsuki Takaya : Original Creator, Yoshihide Ibata : Director & Episode Director & Storyboard, Taku Kishimoto : Screenplay & Series Composition, Masaru Yokoyama : Music, Masaru Shindou : Character Design & Chief Animation Director, Baek-Ryun Chae : Photography Director, Youko Koyama : Art Director, Mika Sugawara : Color Design"
Mo Dao Zu Shi 3,,"Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel), The Master of Diabolism","Mo Xiang Tong Xiu : Original Creator, Xiong Ke : Chief Director, Ma Chendi : Chief Director, Sun Yujing : Music, Weng Teng : Music, Feng Shuo : Music, Shen Lin : Character Design & Chief Animation Director, Liang Sha : Screenplay"
Fullmetal Alchemist: Brotherhood,"Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse","Fullmetal Alchemist, Fullmetal Alchemist (Light Novel), Fullmetal Alchemist Gaiden, Fullmetal Alchemist: The Prototype, Fullmetal Alchemist: The Complete Four-Panel Comics","Hiromu Arakawa : Original Creator, Yasuhiro Irie : Director, Akira Senju : Music, Hiroki Kanno : 2Nd Key Animator & Animation Director & Assistant Animation Director & Character Design & Key Animator, Hiroo Maruyama : Producer, Ryou Ooyama : Producer, Nobuyuki Kurashige : Producer, Noritomo Yonai : Producer"
Attack on Titan 3rd Season: Part II,"Cannibalism,, Explicit Violence","Attack on Titan, Attack on Titan: End of the World (Light Novel)","Hajime Isayama : Original Creator, Tetsurou Araki : Chief Director, Masashi Koizuka : Director, Tetsuya Wakano : Assistant Director, Yasuko Kobayashi : Series Composition, Hiroyuki Sawano : Music, Kyouji Asano : Character Design, Kazuhiro Yamada : Photography Director"
Jujutsu Kaisen,Explicit Violence,"Jujutsu Kaisen 0, Jujutsu Kaisen","Gege Akutami : Original Creator, Seong-Hu Park : Director, Arisa Okehazama : Music, Hiroaki Tsutsumi : Music, Yoshimasa Terui : Music, Tadashi Hiramatsu : Character Design, Akiko Fujita : Sound Director, Toshihiro Maeda : Producer"
Attack on Titan The Final Season: Part II,,Attack on Titan,"Hajime Isayama : Original Creator, Jun Shishido : Chief Director, Yuuichirou Hayashi : Director & Episode Director, Hiroshi Seko : Screenplay & Series Composition, Hiroyuki Sawano : Music, Kohta Yamamoto : Music, Tomohiro Kishi : Character Design, Tetsuya Endou : Producer"
Attack on Titan The Final Season,"Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",Attack on Titan,"Hajime Isayama : Original Creator, Jun Shishido : Chief Director & Episode Director & Storyboard, Yuuichirou Hayashi : Director & Episode Director & Op Director & Storyboard, Hiroshi Seko : Screenplay & Series Composition, Hiroyuki Sawano : Music, Kohta Yamamoto : Music, Tomohiro Kishi : Character Design & Chief Animation Director, Shigeki Asakawa : Photography Director"
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,"Mature Themes,, Suicide,, Violence","Gotouge Koyoharu Tanpenshuu, Demon Slayer: Kimetsu no Yaiba, Demon Slayer: Kimetsu no Yaiba - Shiawase no Hana (Light Novel), Demon Slayer: Kimetsu no Yaiba - Katahane no Chou (Light Novel), Demon Slayer: Kimetsu no Yaiba - Kaze no Michishirube (Light Novel)","Koyoharu Gotouge : Original Creator, Haruo Sotozaki : Director & Episode Director & Storyboard, Gou Shiina : Music, Yuki Kajiura : Music & Song Arrangement & Song Composition & Song Lyrics, Akira Matsushima : Animation Director & Character Design & Chief Animation Director, Yuuichi Terao : Photography Director, Kouji Etou : Art Director & Background Artist, Yuri Kabasawa : Art Director & Background Artist"
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,,"Haikyuu!! (Pilot), Haikyuu!!, Haikyuu-bu!!","Haruichi Furudate : Original Creator, Susumu Mitsunaka : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Tomoyuki Saitou : Producer, Toshihiro Maeda : Producer, Kozue Kaneniwa : Producer"
